resp,valid,accu,nFrame,subject,session,stimulus_1,stimulus_2,stimulus_3,stimulus_4,stimulus_5,stimulus_6,stimulus_7,stimulus_8,stimulus_9,stimulus_10,target
1,1,1,5,1,1,0.59467180210638,-0.272711815347511,0.139632261229904,0.598703511090933,0.562360146628389,NaN,NaN,NaN,NaN,NaN,1
1,1,0,5,1,1,0.443029199814299,0.486279666393832,-0.209283697417971,0.599533600621312,0.346236787721739,NaN,NaN,NaN,NaN,NaN,0
1,1,1,8,1,1,0.529938463311938,-0.000823024861394159,-0.034101948424738,0.183740474622059,0.565261620334036,0.593435393198728,0.435012769115116,0.432708842960803,NaN,NaN,1
1,1,1,8,1,1,0.565570180845721,-0.170948614609197,0.247675412811507,-0.301653144642297,0.599044881622884,0.590655017238827,-0.451282540227843,0.569152426805934,NaN,NaN,1
1,1,0,10,1,1,-0.334271150027498,0.534521562790997,0.076111477683508,-0.0904696552053759,0.558128370318082,-0.45631390956511,0.363277855652661,0.580965530331087,-0.448319586978092,0.479484023378066,0
1,1,1,9,1,1,0.556406431217917,0.553434518155269,-0.598465054393329,0.530960428882557,-0.493344135938332,-0.595140634135051,0.599442679854677,0.588912286812434,-0.559821102179496,NaN,1
1,1,1,10,1,1,0.529478874371605,-0.0190462588815127,0.163639886221755,-0.15268386360655,0.596798808367784,-0.113915862571132,0.561446289375109,-0.59612624757294,0.0472318515592751,0.569479498962119,1
0,1,1,9,1,1,0.51280514272213,0.502885413917857,0.0799445399132134,-0.478825965070829,-0.551460614931931,0.0927624382092121,-0.55394586839724,0.436342461538744,-0.346308092201778,NaN,0
1,1,1,5,1,1,-0.487239348875122,0.599103395703376,0.581585499863714,0.0518689802519727,0.593264611145477,NaN,NaN,NaN,NaN,NaN,1
0,1,0,10,1,1,0.280033606397207,0.549411234676027,0.596804759061918,0.0240584682945765,0.0798530475861453,0.160110946072599,0.550042341488537,-0.0542235950210698,-0.51847710103791,-0.499228042904337,1
1,1,0,10,1,1,-0.599409090565231,-0.285971931891645,0.530214825262977,-0.598835841873295,-0.538953215009951,0.572520742254348,0.212130563295089,-0.302534886808578,0.0336761817456257,0.209351935698707,0
0,1,1,6,1,1,0.024817583165862,0.0499683576706256,-0.221818497934816,-0.0706095633941744,-0.597902006292378,-0.445073216515099,NaN,NaN,NaN,NaN,0
0,1,1,10,1,1,-0.572845823470071,0.595949485331636,0.58814068349683,0.179521676684717,-0.100559860298498,-0.598162851205919,-0.180044592339238,-0.587019563453106,-0.250158966944677,0.141130436418377,0
1,1,1,7,1,1,0.0395410899576477,0.556718999069842,-0.348065364565694,0.213338613627438,-0.388676718964057,0.554949350431366,0.590216060586513,NaN,NaN,NaN,1
0,0,0,6,1,1,0.555504875640123,0.197964287478053,-0.0934769130669687,0.171144345771149,0.249608264894913,-0.0809807003496546,NaN,NaN,NaN,NaN,1
0,1,1,8,1,1,-0.341993765707889,0.5163471849112,-0.567602372949095,-0.57035837122187,0.0693817687951081,-0.313341705547867,0.0419689514070285,0.068647226702293,NaN,NaN,0
0,1,1,6,1,1,-0.599943569511095,-0.209106764081467,-0.594674794389249,-0.511049387961385,0.0334051706645723,0.506195361711865,NaN,NaN,NaN,NaN,0
1,1,1,8,1,1,-0.0144797712123064,-0.374038048978291,0.133093165539053,0.219041350436278,0.593727126602863,0.55806662461939,0.211176792559708,0.537782022273136,NaN,NaN,1
0,1,0,5,1,1,0.552525502601128,-0.254457138109215,-0.286172890922986,-0.599684243673771,0.589428305412935,NaN,NaN,NaN,NaN,NaN,1
1,1,0,10,1,1,-0.551121949584218,-0.582608564044523,-0.555682519778025,-0.191514238128221,-0.0596821142463612,-0.59425517214772,0.104357879602253,0.404505428215185,-0.586990643629211,0.592328715961138,0
